"","compound_and_ion","Tissue","Genotype","n","mean_value","std_deviation"
"153","Succinate_2","HP","Control",7,0.208992348545129,0.0252833672363171
"154","Succinate_2","HP","Mutant",5,0.100728340413011,0.0647485355264216
"155","Succinate_3","HP","Control",7,0.0933432607853044,0.024329073556824
"156","Succinate_3","HP","Mutant",5,0.0607971910165913,0.0483791697502221
"157","Fumarate_0","HP","Control",7,0.608566375777346,0.0765343539050238
"158","Fumarate_0","HP","Mutant",5,0.816856663292097,0.119962392756245
"159","Fumarate_2","HP","Control",7,0.166508468179309,0.0303130558329651
"160","Fumarate_2","HP","Mutant",5,0.0622150783591925,0.0434915562437363
"161","Fumarate_3","HP","Control",7,0.0792937797448262,0.023986569785384
"162","Fumarate_3","HP","Mutant",5,0.0598675167794782,0.0395807726023573
"163","Malate_0","HP","Control",7,0.552666344713412,0.0620906445515833
"164","Malate_0","HP","Mutant",5,0.806143642378934,0.140653365152923
"165","Malate_2","HP","Control",7,0.191489445109539,0.0236593857932569
"166","Malate_2","HP","Mutant",5,0.0651686690580137,0.0518265524181275
"167","Malate_3","HP","Control",7,0.092538020868667,0.020460269509114
"168","Malate_3","HP","Mutant",5,0.0662172609082333,0.0424475242907986
"169","Aspartate_0","HP","Control",7,0.552133130921421,0.0638440835341298
"170","Aspartate_0","HP","Mutant",5,0.865845252835591,0.102972687543378
"171","Aspartate_2","HP","Control",7,0.200069271044518,0.0231555776134261
"172","Aspartate_2","HP","Mutant",5,0.0456842572942353,0.040070471535676
"173","Aspartate_3","HP","Control",7,0.0904391002139896,0.0221180769586176
"174","Aspartate_3","HP","Mutant",5,0.0467829205814254,0.0297605112961071
"175","Gln_0","HP","Control",7,0.662633402400858,0.0539795660678204
"176","Gln_0","HP","Mutant",5,0.883714848815486,0.0658145348131572
"177","Gln_2","HP","Control",7,0.180240201613802,0.0223367393185751
"178","Gln_2","HP","Mutant",5,0.0657256925658442,0.0352026117875256
"179","Gln_3","HP","Control",7,0.0507659495592166,0.0131459524667206
"180","Gln_3","HP","Mutant",5,0.0176701494879368,0.0122667653551839
